id,GEOCODIGO
Altamira,1500602
Barcelos,1300409
São Gabriel da Cachoeira,1303809
Oriximiná,1505304
Tapauá,1304104
São Félix do Xingu,1507300
Atalaia do Norte,1300201
Almeirim,1500503
Corumbá,5003207
Jutaí,1302306
Lábrea,1302405
Santa Isabel do Rio Negro,1303601
Itaituba,1503606
Coari,1301209
Japurá,1302108
Apuí,1300144
Jacareacanga,1503754
Manicoré,1302702
Caracaraí,1400209
Borba,1300805
Pauini,1303502
Novo Aripuanã,1303304
Maués,1302900
Novo Progresso,1505031
Novo Airão,1303205
Porto Velho,1100205
Humaitá,1301704
Rorainópolis,1400472
Laranjal do Jari,1600279
Canutama,1300904
Colniza,5103254
Feijó,1200302
Amajari,1400027
Óbidos,1505106
Urucará,1304302
Juína,5105150
Cáceres,5102504
Carauari,1301001
Aripuanã,5101407
Guajará-Mirim,1100106
Alto Alegre,1400050
Itamarati,1301951
Paranatinga,5106307
Presidente Figueiredo,1303536
Portel,1505809
Sena Madureira,1200500
Tefé,1304203
Santarém,1506807
Comodoro,5103304
Oiapoque,1600501
Boca do Acre,1300706
Alenquer,1500404
Juara,5105101
Monte Alegre,1504802
Apiacás,5100805
Tarauacá,1200609
Porto Murtinho,5006903
São Paulo de Olivença,1303908
Ribas do Rio Pardo,5007109
Juruá,1302207
Paragominas,1505502
Aquidauana,5001102
Poconé,5106505
Codajás,1301308
Querência,5107065
Gaúcha do Norte,5103858
Cocalinho,5103106
São Félix do Araguaia,5107859
Cumaru do Norte,1502764
Porto de Moz,1505908
Beruri,1300631
Aveiro,1501006
Maraã,1302801
Formosa do Rio Preto,2911105
Brasnorte,5101902
São Desidério,2928901
Novo Repartimento,1505064
Eirunepé,1301407
Marabá,1504208
Peixoto de Azevedo,5106422
Vila Bela da Santíssima Trindade,5105507
Ourilândia do Norte,1505437
Sapezal,5107875
Calçoene,1600204
Nhamundá,1303007
Iracema,1400282
Formoso do Araguaia,1708205
Balsas,2101400
Nova Ubiratã,5106240
Santo Antônio do Leverger,5107800
Sento Sé,2930204
Mazagão,1600402
Chaves,1502509
Rondolândia,5107578
Senador José Porfírio,1507805
Correntina,2909307
Mucajaí,1400308
Marcelândia,5105580
Prainha,1506005
Água Clara,5000203
Santo Antônio do Içá,1303700
Tangará da Serra,5107958
Ipixuna,1301803
Barão de Melgaço,5101605
Fonte Boa,1301605
Nova Maringá,5108907
Trairão,1508050
Caroebe,1400233
Pilão Arcado,2924405
Vilhena,1100304
Anapu,1500859
Feliz Natal,5103700
Ribeirão Cascalheira,5107180
Santana do Araguaia,1506708
Pacajá,1505486
Paranã,1716208
João Pinheiro,3136306
Faro,1503002
Barra,2902708
Três Lagoas,5008305
São Francisco do Guaporé,1101492
Alto Parnaíba,2100501
Canarana,5102702
Manaus,1302603
Manoel Urbano,1200344
Lagoa da Confusão,1711902
Uruará,1508159
São Sebastião do Uatumã,1303957
Cocos,2908101
Santa Maria das Barreiras,1506583
Niquelândia,5214606
Nova Mamoré,1100338
Pium,1717503
Alegrete,4300406
Uarini,1304260
Nova Mutum,5106224
Jaborandi,2917359
Campo Novo do Parecis,5102637
Mateiros,1712702
Casa Nova,2907202
Barra do Garças,5101803
Sorriso,5107925
Nova Bandeirantes,5106158
Mineiros,5213103
Cotriguaçu,5103379
Breves,1501808
Pedra Branca do Amapari,1600154
Caapiranga,1300839
Itiquira,5104609
Caiapônia,5204409
Sant'Ana do Livramento,4317103
Campo Grande,5002704
Rio Verde,5218805
Alta Floresta,5100250
Unaí,3170404
Amapá,1600105
Rio Branco,1200401
Moju,1504703
Rio Verde de Mato Grosso,5007406
Pontes e Lacerda,5106752
Paracatu,3147006
Itacoatiara,1301902
Cruzeiro do Sul,1200203
Benjamin Constant,1300607
Machadinho D'Oeste,1100130
Mirador,2106706
Uruçuí,2211209
Rosário Oeste,5107701
Tabaporã,5107941
Gurupá,1503101
Marechal Thaumaturgo,1200351
Afuá,1500305
São Miguel do Guaporé,1100320
Juruti,1503903
Medicilândia,1504455
Rondon do Pará,1506187
Centro Novo do Maranhão,2103174
Barreiras,2903201
Uiramutã,1400704
Bonfim,1400159
Diamantino,5103502
Pacaraima,1400456
Baixa Grande do Ribeiro,2201150
Barra do Corda,2101608
Água Boa,5100201
Itupiranga,1503705
Buritizeiro,3109402
Jataí,5211909
Serra do Navio,1600055
Nova Crixás,5214838
Amarante do Maranhão,2100600
São José do Xingu,5107354
Guajará,1301654
Cantá,1400175
Vila Rica,5108600
Autazes,1300300
Envira,1301506
Grajaú,2104800
Uruguaiana,4322400
Poxoréu,5107008
Santa Vitória do Palmar,4317301
Alta Floresta D'Oeste,1100015
